"Step","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"137","1.7415581941604614","1.7415581941604614","1.7415581941604614"
"139","1.7378183603286743","1.7378183603286743","1.7378183603286743"
"141","1.7387454509735107","1.7387454509735107","1.7387454509735107"
"143","1.7405750751495361","1.7405750751495361","1.7405750751495361"
"145","1.7377347946166992","1.7377347946166992","1.7377347946166992"
"147","1.7356821298599243","1.7356821298599243","1.7356821298599243"
"149","1.7417056560516357","1.7417056560516357","1.7417056560516357"
"151","1.7764183282852173","1.7764183282852173","1.7764183282852173"
"153","1.770216941833496","1.770216941833496","1.770216941833496"
"155","1.7768383026123047","1.7768383026123047","1.7768383026123047"
"157","1.7677724361419678","1.7677724361419678","1.7677724361419678"
"159","1.7695664167404175","1.7695664167404175","1.7695664167404175"
"161","1.7678593397140503","1.7678593397140503","1.7678593397140503"
"163","1.7614854574203491","1.7614854574203491","1.7614854574203491"
"165","1.762732982635498","1.762732982635498","1.762732982635498"
"167","1.7673194408416748","1.7673194408416748","1.7673194408416748"
"169","1.7569494247436523","1.7569494247436523","1.7569494247436523"
"171","1.7573165893554688","1.7573165893554688","1.7573165893554688"
"173","1.758745551109314","1.758745551109314","1.758745551109314"
"175","1.760532021522522","1.760532021522522","1.760532021522522"
"177","1.7599457502365112","1.7599457502365112","1.7599457502365112"
"179","1.765373945236206","1.765373945236206","1.765373945236206"
"181","1.761231780052185","1.761231780052185","1.761231780052185"
"183","1.7699187994003296","1.7699187994003296","1.7699187994003296"
"185","1.7675504684448242","1.7675504684448242","1.7675504684448242"
"187","1.7786040306091309","1.7786040306091309","1.7786040306091309"
"189","1.7670824527740479","1.7670824527740479","1.7670824527740479"
"191","1.759616494178772","1.759616494178772","1.759616494178772"
"193","1.7683907747268677","1.7683907747268677","1.7683907747268677"
"195","1.7719614505767822","1.7719614505767822","1.7719614505767822"
"197","1.7660791873931885","1.7660791873931885","1.7660791873931885"
"199","1.7741913795471191","1.7741913795471191","1.7741913795471191"
"201","1.794623613357544","1.794623613357544","1.794623613357544"
"203","1.7960983514785767","1.7960983514785767","1.7960983514785767"
"205","1.796617031097412","1.796617031097412","1.796617031097412"
"207","1.7938951253890991","1.7938951253890991","1.7938951253890991"
"209","1.794426441192627","1.794426441192627","1.794426441192627"
"211","1.7842330932617188","1.7842330932617188","1.7842330932617188"
"213","1.7898459434509277","1.7898459434509277","1.7898459434509277"
"215","1.7851868867874146","1.7851868867874146","1.7851868867874146"
"217","1.814736247062683","1.814736247062683","1.814736247062683"
"219","1.8172181844711304","1.8172181844711304","1.8172181844711304"
"221","1.8118234872817993","1.8118234872817993","1.8118234872817993"
"223","1.808591604232788","1.808591604232788","1.808591604232788"
"225","1.8033562898635864","1.8033562898635864","1.8033562898635864"
"227","1.799709677696228","1.799709677696228","1.799709677696228"
"229","1.8105379343032837","1.8105379343032837","1.8105379343032837"
"231","1.8116600513458252","1.8116600513458252","1.8116600513458252"
"233","1.8172554969787598","1.8172554969787598","1.8172554969787598"
"235","1.8085973262786865","1.8085973262786865","1.8085973262786865"
"237","1.807758092880249","1.807758092880249","1.807758092880249"
"239","1.8037916421890259","1.8037916421890259","1.8037916421890259"
"241","1.7961580753326416","1.7961580753326416","1.7961580753326416"
"243","1.7974995374679565","1.7974995374679565","1.7974995374679565"
"245","1.7948436737060547","1.7948436737060547","1.7948436737060547"
"247","1.794779658317566","1.794779658317566","1.794779658317566"
"249","1.8148869276046753","1.8148869276046753","1.8148869276046753"
"251","1.8199595212936401","1.8199595212936401","1.8199595212936401"
"253","1.8401234149932861","1.8401234149932861","1.8401234149932861"
"255","1.8332480192184448","1.8332480192184448","1.8332480192184448"
"257","1.8181434869766235","1.8181434869766235","1.8181434869766235"
"259","1.83474862575531","1.83474862575531","1.83474862575531"
"261","1.8114525079727173","1.8114525079727173","1.8114525079727173"
"263","1.8144534826278687","1.8144534826278687","1.8144534826278687"
"265","1.81639564037323","1.81639564037323","1.81639564037323"
"267","1.8837193250656128","1.8837193250656128","1.8837193250656128"
"269","1.8725810050964355","1.8725810050964355","1.8725810050964355"
"271","1.864991545677185","1.864991545677185","1.864991545677185"
"273","1.8649760484695435","1.8649760484695435","1.8649760484695435"
"275","1.8653233051300049","1.8653233051300049","1.8653233051300049"
"277","1.8703837394714355","1.8703837394714355","1.8703837394714355"
"279","1.8755446672439575","1.8755446672439575","1.8755446672439575"
"281","1.8684653043746948","1.8684653043746948","1.8684653043746948"
