"train/global_step","./falcon_gpt_results_packing - _step","./falcon_gpt_results_packing - _step__MIN","./falcon_gpt_results_packing - _step__MAX","./falcon_gpt_results_packing - eval/loss","./falcon_gpt_results_packing - eval/loss__MIN","./falcon_gpt_results_packing - eval/loss__MAX"
"4900","195","195","195","1.3456628322601318","1.3456628322601318","1.3456628322601318"
"4950","197","197","197","1.3480254411697388","1.3480254411697388","1.3480254411697388"
"5000","199","199","199","1.3468327522277832","1.3468327522277832","1.3468327522277832"
"5050","201","201","201","1.3456422090530396","1.3456422090530396","1.3456422090530396"
"5100","203","203","203","1.3493411540985107","1.3493411540985107","1.3493411540985107"
"5150","205","205","205","1.3469903469085693","1.3469903469085693","1.3469903469085693"
"5200","207","207","207","1.3469902276992798","1.3469902276992798","1.3469902276992798"
"5250","209","209","209","1.346158504486084","1.346158504486084","1.346158504486084"
"5300","211","211","211","1.3468644618988037","1.3468644618988037","1.3468644618988037"
"5350","213","213","213","1.3445420265197754","1.3445420265197754","1.3445420265197754"
"5400","215","215","215","1.3461195230484009","1.3461195230484009","1.3461195230484009"
"5450","217","217","217","1.34576416015625","1.34576416015625","1.34576416015625"
"5500","219","219","219","1.3448172807693481","1.3448172807693481","1.3448172807693481"
"5550","221","221","221","1.3491299152374268","1.3491299152374268","1.3491299152374268"
"5600","223","223","223","1.3486509323120117","1.3486509323120117","1.3486509323120117"
"5650","225","225","225","1.348028302192688","1.348028302192688","1.348028302192688"
"5700","227","227","227","1.3482218980789185","1.3482218980789185","1.3482218980789185"
"5750","229","229","229","1.3505059480667114","1.3505059480667114","1.3505059480667114"
"5800","231","231","231","1.3497629165649414","1.3497629165649414","1.3497629165649414"
"5850","233","233","233","1.3483855724334717","1.3483855724334717","1.3483855724334717"
"5900","235","235","235","1.3470109701156616","1.3470109701156616","1.3470109701156616"
"5950","237","237","237","1.3487480878829956","1.3487480878829956","1.3487480878829956"
"6000","239","239","239","1.3474704027175903","1.3474704027175903","1.3474704027175903"
"6050","241","241","241","1.3496935367584229","1.3496935367584229","1.3496935367584229"
"6100","243","243","243","1.3479121923446655","1.3479121923446655","1.3479121923446655"
"6150","245","245","245","1.3502999544143677","1.3502999544143677","1.3502999544143677"
"6200","247","247","247","1.3499197959899902","1.3499197959899902","1.3499197959899902"
"6250","249","249","249","1.3463741540908813","1.3463741540908813","1.3463741540908813"
"6300","251","251","251","1.3460742235183716","1.3460742235183716","1.3460742235183716"
"6350","253","253","253","1.347792387008667","1.347792387008667","1.347792387008667"
"6400","255","255","255","1.350817322731018","1.350817322731018","1.350817322731018"
"6450","257","257","257","1.349649429321289","1.349649429321289","1.349649429321289"
"6500","259","259","259","1.3523945808410645","1.3523945808410645","1.3523945808410645"
"6550","261","261","261","1.3497076034545898","1.3497076034545898","1.3497076034545898"
"6600","263","263","263","1.3478652238845825","1.3478652238845825","1.3478652238845825"
"6650","265","265","265","1.3512314558029175","1.3512314558029175","1.3512314558029175"
"6700","267","267","267","1.3544032573699951","1.3544032573699951","1.3544032573699951"
"6750","269","269","269","1.3511593341827393","1.3511593341827393","1.3511593341827393"
"6800","271","271","271","1.351266860961914","1.351266860961914","1.351266860961914"
"6850","273","273","273","1.3509517908096313","1.3509517908096313","1.3509517908096313"
"6900","275","275","275","1.3518637418746948","1.3518637418746948","1.3518637418746948"
"6950","277","277","277","1.3494864702224731","1.3494864702224731","1.3494864702224731"
"7000","279","279","279","1.3514035940170288","1.3514035940170288","1.3514035940170288"
"7050","281","281","281","1.3548405170440674","1.3548405170440674","1.3548405170440674"
"7100","283","283","283","1.3495253324508667","1.3495253324508667","1.3495253324508667"
"7150","285","285","285","1.3515812158584595","1.3515812158584595","1.3515812158584595"
"7200","287","287","287","1.3498762845993042","1.3498762845993042","1.3498762845993042"
"7250","289","289","289","1.3566741943359375","1.3566741943359375","1.3566741943359375"
"7300","291","291","291","1.353843331336975","1.353843331336975","1.353843331336975"
"7350","293","293","293","1.3509680032730103","1.3509680032730103","1.3509680032730103"
"7400","295","295","295","1.3515448570251465","1.3515448570251465","1.3515448570251465"
"7450","297","297","297","1.3517813682556152","1.3517813682556152","1.3517813682556152"
"7500","299","299","299","1.3519245386123657","1.3519245386123657","1.3519245386123657"
"7550","301","301","301","1.3512284755706787","1.3512284755706787","1.3512284755706787"
"7600","303","303","303","1.3528860807418823","1.3528860807418823","1.3528860807418823"
"7650","305","305","305","1.3518927097320557","1.3518927097320557","1.3518927097320557"
"7700","307","307","307","1.3537615537643433","1.3537615537643433","1.3537615537643433"
"7750","309","309","309","1.3552747964859009","1.3552747964859009","1.3552747964859009"
"7800","311","311","311","1.355172038078308","1.355172038078308","1.355172038078308"
"7850","313","313","313","1.3526978492736816","1.3526978492736816","1.3526978492736816"
"7900","315","315","315","1.3576490879058838","1.3576490879058838","1.3576490879058838"
"7950","317","317","317","1.3567644357681274","1.3567644357681274","1.3567644357681274"
"8000","319","319","319","1.357236385345459","1.357236385345459","1.357236385345459"
"8050","321","321","321","1.3529345989227295","1.3529345989227295","1.3529345989227295"
"8100","323","323","323","1.3547627925872803","1.3547627925872803","1.3547627925872803"
"8150","325","325","325","1.3537404537200928","1.3537404537200928","1.3537404537200928"
"8200","327","327","327","1.3564848899841309","1.3564848899841309","1.3564848899841309"
"8250","329","329","329","1.3552650213241577","1.3552650213241577","1.3552650213241577"
"8300","331","331","331","1.355789303779602","1.355789303779602","1.355789303779602"
"8350","333","333","333","1.3621926307678223","1.3621926307678223","1.3621926307678223"
"8400","335","335","335","1.356065273284912","1.356065273284912","1.356065273284912"
"8450","337","337","337","1.355257511138916","1.355257511138916","1.355257511138916"
"8500","339","339","339","1.3590582609176636","1.3590582609176636","1.3590582609176636"
"8550","341","341","341","1.3592166900634766","1.3592166900634766","1.3592166900634766"
"8600","343","343","343","1.364235520362854","1.364235520362854","1.364235520362854"
"8650","345","345","345","1.3588955402374268","1.3588955402374268","1.3588955402374268"
"8700","347","347","347","1.360949158668518","1.360949158668518","1.360949158668518"
"8750","349","349","349","1.3618836402893066","1.3618836402893066","1.3618836402893066"
"8800","351","351","351","1.3590941429138184","1.3590941429138184","1.3590941429138184"
"8850","353","353","353","1.3622392416000366","1.3622392416000366","1.3622392416000366"
"8900","355","355","355","1.3583483695983887","1.3583483695983887","1.3583483695983887"
"8950","357","357","357","1.3593047857284546","1.3593047857284546","1.3593047857284546"
"9000","359","359","359","1.356581449508667","1.356581449508667","1.356581449508667"
"9050","361","361","361","1.360473394393921","1.360473394393921","1.360473394393921"
"9100","363","363","363","1.3598138093948364","1.3598138093948364","1.3598138093948364"
"9150","365","365","365","1.358767032623291","1.358767032623291","1.358767032623291"
"9200","367","367","367","1.3586452007293701","1.3586452007293701","1.3586452007293701"
"9250","369","369","369","1.363669991493225","1.363669991493225","1.363669991493225"
"9300","371","371","371","1.361692190170288","1.361692190170288","1.361692190170288"
"9350","373","373","373","1.3701971769332886","1.3701971769332886","1.3701971769332886"
"9400","375","375","375","1.3677880764007568","1.3677880764007568","1.3677880764007568"
"9450","377","377","377","1.3696584701538086","1.3696584701538086","1.3696584701538086"
"9500","379","379","379","1.3711367845535278","1.3711367845535278","1.3711367845535278"
"9550","381","381","381","1.366805911064148","1.366805911064148","1.366805911064148"
"9600","383","383","383","1.3748315572738647","1.3748315572738647","1.3748315572738647"
