"train/global_step","./falcon_results_packing - _step","./falcon_results_packing - _step__MIN","./falcon_results_packing - _step__MAX","./falcon_results_packing - eval/loss","./falcon_results_packing - eval/loss__MIN","./falcon_results_packing - eval/loss__MAX"
"2350","93","93","93","1.3580650091171265","1.3580650091171265","1.3580650091171265"
"2400","95","95","95","1.3558706045150757","1.3558706045150757","1.3558706045150757"
"2450","97","97","97","1.3578739166259766","1.3578739166259766","1.3578739166259766"
"2500","99","99","99","1.3558740615844727","1.3558740615844727","1.3558740615844727"
"2550","101","101","101","1.3558958768844604","1.3558958768844604","1.3558958768844604"
"2600","103","103","103","1.3573359251022339","1.3573359251022339","1.3573359251022339"
"2650","105","105","105","1.356001615524292","1.356001615524292","1.356001615524292"
"2700","107","107","107","1.356178879737854","1.356178879737854","1.356178879737854"
"2750","109","109","109","1.3551135063171387","1.3551135063171387","1.3551135063171387"
"2800","111","111","111","1.3536932468414307","1.3536932468414307","1.3536932468414307"
"2850","113","113","113","1.3554526567459106","1.3554526567459106","1.3554526567459106"
"2900","115","115","115","1.3539447784423828","1.3539447784423828","1.3539447784423828"
"2950","117","117","117","1.3506397008895874","1.3506397008895874","1.3506397008895874"
"3000","119","119","119","1.3511463403701782","1.3511463403701782","1.3511463403701782"
"3050","121","121","121","1.3501673936843872","1.3501673936843872","1.3501673936843872"
"3100","123","123","123","1.350419521331787","1.350419521331787","1.350419521331787"
"3150","125","125","125","1.3513449430465698","1.3513449430465698","1.3513449430465698"
"3200","127","127","127","1.3498623371124268","1.3498623371124268","1.3498623371124268"
"3250","129","129","129","1.3490358591079712","1.3490358591079712","1.3490358591079712"
"3300","131","131","131","1.3490350246429443","1.3490350246429443","1.3490350246429443"
"3350","133","133","133","1.3495639562606812","1.3495639562606812","1.3495639562606812"
"3400","135","135","135","1.3497576713562012","1.3497576713562012","1.3497576713562012"
"3450","137","137","137","1.348286747932434","1.348286747932434","1.348286747932434"
"3500","139","139","139","1.349099040031433","1.349099040031433","1.349099040031433"
"3550","141","141","141","1.3483812808990479","1.3483812808990479","1.3483812808990479"
"3600","143","143","143","1.3483508825302124","1.3483508825302124","1.3483508825302124"
"3650","145","145","145","1.3474633693695068","1.3474633693695068","1.3474633693695068"
"3700","147","147","147","1.3473474979400635","1.3473474979400635","1.3473474979400635"
"3750","149","149","149","1.3469994068145752","1.3469994068145752","1.3469994068145752"
"3800","151","151","151","1.347278118133545","1.347278118133545","1.347278118133545"
"3850","153","153","153","1.3468103408813477","1.3468103408813477","1.3468103408813477"
"3900","155","155","155","1.3495125770568848","1.3495125770568848","1.3495125770568848"
"3950","157","157","157","1.3480606079101562","1.3480606079101562","1.3480606079101562"
"4000","159","159","159","1.3480141162872314","1.3480141162872314","1.3480141162872314"
"4050","161","161","161","1.348130226135254","1.348130226135254","1.348130226135254"
"4100","163","163","163","1.347800374031067","1.347800374031067","1.347800374031067"
"4150","165","165","165","1.3479382991790771","1.3479382991790771","1.3479382991790771"
"4200","167","167","167","1.3462427854537964","1.3462427854537964","1.3462427854537964"
"4250","169","169","169","1.3436896800994873","1.3436896800994873","1.3436896800994873"
"4300","171","171","171","1.3456379175186157","1.3456379175186157","1.3456379175186157"
"4350","173","173","173","1.3441722393035889","1.3441722393035889","1.3441722393035889"
"4400","175","175","175","1.3442564010620117","1.3442564010620117","1.3442564010620117"
"4450","177","177","177","1.3435388803482056","1.3435388803482056","1.3435388803482056"
"4500","179","179","179","1.3439778089523315","1.3439778089523315","1.3439778089523315"
"4550","181","181","181","1.3435457944869995","1.3435457944869995","1.3435457944869995"
"4600","183","183","183","1.3434219360351562","1.3434219360351562","1.3434219360351562"
"4650","185","185","185","1.3450062274932861","1.3450062274932861","1.3450062274932861"
